20210119,4.24,4.24,4.13,4.19,1692825,7086875.00
20210120,4.19,4.19,4.07,4.10,1115126,4574824.00
20210121,4.08,4.21,3.99,4.07,2418464,9936747.00
20210122,4.06,4.15,4.02,4.11,1246400,5081386.00
20210125,4.10,4.10,3.90,3.90,3410501,13438862.00
20210126,3.90,3.90,3.71,3.78,3287427,12469226.00
20210127,3.75,3.88,3.73,3.84,1381600,5271440.00
20210128,3.82,3.84,3.73,3.75,1661300,6265034.00
20210129,3.76,3.78,3.66,3.74,1456903,5414149.00
20210201,3.73,3.77,3.59,3.60,1799100,6558580.00
数据来源:通达信
